PassengerId,Survived,生存推論確率
892,0,0.0
893,0,0.0
894,0,0.0
895,0,0.0
896,0,3.830199558289553e-198
897,0,3.2961063597023148e-236
898,0,5.475505167219487e-44
899,0,0.0
900,1,1.0
901,0,0.0
902,0,0.0
903,0,0.0
904,0,1.9501856223864745e-262
905,0,0.0
906,0,0.0
907,0,7.548647391648324e-148
908,0,0.0
909,0,2.612858191199514e-256
910,0,1.4456431534604895e-203
911,0,1.138427402980593e-210
912,0,0.0
913,0,7.471572848090975e-207
914,0,4.755572012401552e-69
915,0,0.0
916,0,0.0
917,0,0.0
918,0,1.0263109777416702e-86
919,0,2.019762909443616e-269
920,0,0.0
921,0,0.0
922,0,0.0
923,0,0.0
924,0,0.0
925,0,9.361718399606806e-296
926,0,0.0
927,0,1.8217640696749776e-234
928,0,1.0234183913654277e-91
929,0,1.1222850508410162e-40
930,0,0.0
931,0,0.0
932,0,0.0
933,0,0.0
934,0,0.0
935,0,7.871325344908344e-91
936,0,0.0
937,0,0.0
938,0,0.0
939,0,1.8041880334647288e-273
940,0,0.0
941,0,6.076881409193976e-245
942,0,0.0
943,0,3.255124819212564e-288
944,0,6.292318766747543e-279
945,0,0.0
946,0,1.8128779481041137e-289
947,0,0.0
948,0,0.0
949,0,0.0
950,0,0.0
951,0,0.0
952,0,2.2294220918769587e-259
953,0,0.0
954,0,8.748948386212234e-268
955,1,1.0
956,0,0.0
957,0,5.492488724353593e-83
958,1,1.0
959,0,0.0
960,0,0.0
961,0,0.0
962,1,0.9999999987644774
963,0,2.4174144186814503e-294
964,0,6.528579670773907e-109
965,0,5.414507247730221e-292
966,0,0.0
967,0,0.0
968,0,0.0
969,0,0.0
970,0,0.0
971,1,0.9999999987644774
972,0,5.13213431516454e-284
973,0,0.0
974,0,0.0
975,0,0.0
976,0,8.746122946727965e-242
977,0,0.0
978,0,2.4416472057167513e-18
979,0,4.79673691677918e-13
980,0,4.836358128981227e-18
981,0,7.071924683480459e-265
982,0,1.3759974332483221e-173
983,0,0.0
984,0,2.2001000833694695e-284
985,0,0.0
986,0,1.9112325533737032e-257
987,0,0.0
988,0,0.0
989,0,0.0
990,0,4.450139146112048e-30
991,0,0.0
992,0,0.0
993,0,0.0
994,0,1.8041880334647288e-273
995,0,0.0
996,0,1.5362535001642724e-100
997,0,0.0
998,0,3.474412561140277e-221
999,0,1.8041880334647288e-273
1000,0,0.0
1001,0,9.81136960616849e-246
1002,0,0.0
1003,0,4.144114846800991e-18
1004,0,3.223584780389629e-111
1005,1,1.0
1006,0,0.0
1007,0,0.0
1008,0,6.013487340384859e-307
1009,0,1.025578201167796e-24
1010,0,0.0
1011,0,4.2926639133463855e-224
1012,1,1.0
1013,0,0.0
1014,0,1.6406005303197447e-274
1015,0,0.0
1016,0,1.8041880334647288e-273
1017,0,4.6480996675923914e-51
1018,0,7.445428200144934e-303
1019,0,6.296326390704433e-278
1020,0,0.0
1021,0,0.0
1022,0,0.0
1023,0,0.0
1024,0,9.01560388961316e-245
1025,0,0.0
1026,0,0.0
1027,0,0.0
1028,0,2.190076072806972e-304
1029,0,0.0
1030,0,9.438313734340789e-57
1031,0,0.0
1032,0,0.0
1033,0,0.0
1034,0,0.0
1035,0,0.0
1036,0,0.0
1037,0,0.0
1038,0,0.0
1039,0,1.9402962881319084e-303
1040,0,0.0
1041,0,0.0
1042,0,4.086258091475474e-144
1043,0,0.0
1044,0,0.0
1045,0,2.1026016689181596e-236
1046,0,0.0
1047,0,0.0
1048,0,0.0
1049,0,2.6591491448272904e-56
1050,0,0.0
1051,0,1.196595112963679e-152
1052,0,5.283071809751964e-18
1053,0,9.312959534039445e-293
1054,0,5.154003470672615e-57
1055,0,0.0
1056,0,0.0
1057,0,1.764347040874207e-255
1058,0,0.0
1059,0,0.0
1060,0,1.8776344334520274e-23
1061,0,4.1652998490517213e-50
1062,0,0.0
1063,0,9.32940724909736e-309
1064,0,0.0
1065,0,9.124405946277417e-309
1066,0,0.0
1067,0,5.745167471846561e-76
1068,0,5.5308804047970345e-58
1069,0,0.0
1070,0,8.585976321572153e-288
1071,0,0.0
1072,0,0.0
1073,0,0.0
1074,0,1.014591096675976e-151
1075,0,1.8041880334647288e-273
1076,0,0.0
1077,0,0.0
1078,0,8.451508157240789e-59
1079,0,0.0
1080,0,0.0
1081,0,0.0
1082,0,0.0
1083,0,0.0
1084,0,0.0
1085,0,0.0
1086,0,2.839322090242671e-255
1087,0,0.0
1088,0,0.0
1089,0,2.0547325062941953e-12
1090,0,2.511915582470557e-279
1091,0,7.352925633267625e-92
1092,0,7.567998607900549e-36
1093,0,3.9870206496907464e-185
1094,0,0.0
1095,0,8.670545053152577e-69
1096,0,8.27150323515956e-297
1097,0,2.46793813353186e-274
1098,0,5.68638248156641e-88
1099,0,4.5582143287531544e-288
1100,0,6.70423536707955e-76
1101,0,0.0
1102,0,0.0
1103,0,0.0
1104,0,0.0
1105,0,0.0
1106,0,0.0
1107,0,0.0
1108,0,2.4416472057167513e-18
1109,0,0.0
1110,0,0.0
1111,0,0.0
1112,0,1.9034629428764311e-168
1113,0,1.0692477644202738e-294
1114,0,3.7106670919140185e-15
1115,0,4.102985459927559e-294
1116,0,4.304797072038197e-250
1117,0,2.819680252735596e-128
1118,0,0.0
1119,0,4.836358128981227e-18
1120,0,0.0
1121,0,0.0
1122,0,0.0
1123,0,8.281849132417378e-05
1124,0,0.0
1125,0,9.108487322514936e-274
1126,0,0.0
1127,0,1.6601102690382047e-285
1128,0,0.0
1129,0,1.4398794641704478e-247
1130,0,2.4734121623770476e-126
1131,0,0.0
1132,0,3.309197561328981e-268
1133,0,0.0
1134,0,0.0
1135,0,0.0
1136,0,0.0
1137,0,0.0
1138,0,2.7913909381136354e-39
1139,0,0.0
1140,0,4.2926639133463855e-224
1141,0,4.486495227549523e-182
1142,0,3.508434239067581e-39
1143,0,1.141496899484027e-285
1144,0,0.0
1145,0,0.0
1146,0,0.0
1147,0,0.0
1148,0,1.8041880334647288e-273
1149,0,0.0
1150,1,0.9999991074378414
1151,0,4.5802348074479515e-294
1152,0,0.0
1153,0,3.0124971031862915e-294
1154,0,1.387323322428942e-161
1155,0,2.443633010476125e-14
1156,0,0.0
1157,0,0.0
1158,0,1.0989799559074949e-251
1159,0,0.0
1160,0,1.0234183913654277e-91
1161,0,3.861070358347793e-261
1162,0,0.0
1163,0,1.8041880334647288e-273
1164,0,0.0
1165,0,5.5182686888553485e-148
1166,0,9.32940724909736e-309
1167,0,2.01196105504907e-145
1168,0,0.0
1169,0,0.0
1170,0,0.0
1171,0,1.384252568742838e-270
1172,0,3.695579777276429e-58
1173,0,3.0774367992123767e-271
1174,0,4.836358128981227e-18
1175,0,8.220604877780033e-55
1176,0,1.584270850958856e-41
1177,0,0.0
1178,0,0.0
1179,0,0.0
1180,0,9.124405946277417e-309
1181,0,0.0
1182,0,0.0
1183,0,1.9901165748866637e-42
1184,0,9.124405946277417e-309
1185,0,0.0
1186,0,0.0
1187,0,0.0
1188,0,3.6812484408659586e-35
1189,0,0.0
1190,0,0.0
1191,0,0.0
1192,0,0.0
1193,0,3.046835714753204e-288
1194,0,0.0
1195,0,0.0
1196,0,4.836358128981227e-18
1197,0,0.0
1198,0,0.0
1199,0,1.2372515539323552e-149
1200,0,0.0
1201,0,0.0
1202,0,7.006440166447463e-270
1203,0,4.7413884961902886e-265
1204,0,0.0
1205,0,1.8724726030153737e-105
1206,0,0.0
1207,1,1.0
1208,0,0.0
1209,0,2.316574290784762e-244
1210,0,0.0
1211,0,0.0
1212,0,0.0
1213,0,2.770927705113388e-291
1214,0,0.0
1215,0,0.0
1216,0,0.0
1217,0,0.0
1218,0,9.304090648426036e-246
1219,0,0.0
1220,0,0.0
1221,0,1.3762707861660084e-267
1222,0,0.0
1223,0,0.0
1224,0,9.32940724909736e-309
1225,0,2.3092776300162386e-143
1226,0,0.0
1227,0,0.0
1228,0,0.0
1229,0,0.0
1230,0,0.0
1231,0,9.124405946277417e-309
1232,0,1.2766049683678062e-235
1233,0,0.0
1234,0,0.0
1235,0,0.0
1236,0,0.0
1237,1,0.9999991727483049
1238,0,0.0
1239,0,1.7184146831365415e-149
1240,0,5.838867878251836e-295
1241,0,5.955633742517912e-118
1242,0,6.236995859416835e-291
1243,0,8.27150323515956e-297
1244,0,0.0
1245,0,0.0
1246,0,1.2685508386321788e-54
1247,0,0.0
1248,0,0.0
1249,0,0.0
1250,0,1.8041880334647288e-273
1251,0,2.6186586332359933e-247
1252,0,0.0
1253,0,1.9465511194332494e-197
1254,0,5.955633742517912e-118
1255,0,0.0
1256,0,8.519203443915818e-182
1257,0,0.0
1258,0,0.0
1259,0,1.0698084557080815e-120
1260,0,7.746846822768417e-282
1261,0,5.366563473961178e-303
1262,0,0.0
1263,0,9.655275564490178e-304
1264,0,0.0
1265,0,0.0
1266,0,0.0
1267,0,0.0
1268,0,1.0827706586169988e-273
1269,0,3.8453594139461814e-264
1270,0,0.0
1271,0,0.0
1272,0,1.8041880334647288e-273
1273,0,5.019454897905004e-265
1274,0,1.5532848825140386e-106
1275,0,2.0312967911249874e-152
1276,0,0.0
1277,0,0.0
1278,0,0.0
1279,0,0.0
1280,0,5.052933542116041e-221
1281,0,0.0
1282,0,0.0
1283,0,0.0
1284,0,0.0
1285,0,0.0
1286,0,0.0
1287,0,1.4243575800432764e-167
1288,0,4.25262454123376e-246
1289,0,0.0
1290,0,8.311462405050901e-303
1291,0,2.137020395371957e-308
1292,0,0.0
1293,0,0.0
1294,0,8.648918884596935e-81
1295,0,1.7433118360246888e-272
1296,0,0.0
1297,0,2.460024885117729e-224
