PassengerId,Survived,生存推論確率
892,0,0.1215719970183403
893,0,0.3416957803961186
894,0,0.12472989462164619
895,0,0.10253499771894083
896,1,0.5615568240096575
897,0,0.15895268364733423
898,1,0.6907785068629411
899,0,0.19967944836414384
900,1,0.7358468297773938
901,0,0.0733083484001025
902,0,0.10236575846389326
903,0,0.3344584504614291
904,1,0.932452341505345
905,0,0.06012045765128484
906,1,0.8385697502160483
907,1,0.8334730469979513
908,0,0.2891696435449553
909,0,0.1545350931829462
910,1,0.529652272861314
911,0,0.49547823560115195
912,0,0.2627003850300094
913,0,0.1733150779969419
914,1,0.9350706356264796
915,1,0.6292612986410268
916,1,0.8917987096831645
917,0,0.03351441462809077
918,1,0.9568920337557166
919,0,0.14711802411623356
920,0,0.3812567121129863
921,0,0.07358460244011979
922,0,0.09557196305070328
923,0,0.17530560265582737
924,0,0.4422142640152487
925,1,0.5016008410888483
926,0,0.48235779529597517
927,0,0.16757374966032548
928,1,0.6076075774406641
929,1,0.661597070905516
930,0,0.11005963655230533
931,0,0.11359388071256347
932,0,0.07911333087460887
933,1,0.5117209701306481
934,0,0.062274082413124675
935,1,0.8053336888178335
936,1,0.8460769758939689
937,0,0.10968986549633501
938,0,0.4015718796467502
939,0,0.15601078905438368
940,1,0.8509187713897935
941,0,0.4897450408341209
942,0,0.481211946807138
943,0,0.30454611178679386
944,1,0.7537788620128281
945,1,0.8889162596702259
946,0,0.3048237309097038
947,0,0.08881824939739574
948,0,0.07726363628183279
949,0,0.109625414103073
950,0,0.07800733064820539
951,1,0.9575174093724349
952,0,0.1436778194550376
953,0,0.22025784466128537
954,0,0.13895017369176607
955,1,0.7526695708296961
956,1,0.6477601823330875
957,1,0.8256368852097473
958,1,0.7803532494145397
959,0,0.33462645666754093
960,1,0.534664688772864
961,1,0.7909900382445213
962,1,0.7380259789018999
963,0,0.12569970663872726
964,1,0.5889773315218638
965,1,0.5581001978032024
966,1,0.9539874909201679
967,1,0.6271862244692614
968,0,0.10239977625521235
969,1,0.7181570798066587
970,0,0.2335922548982913
971,1,0.7380259789018999
972,0,0.18331754042415244
973,0,0.20632447788033317
974,0,0.309185576187416
975,0,0.10236575846389326
976,0,0.35561413190455293
977,0,0.09691238111438003
978,1,0.715083401631432
979,1,0.6867116068533798
980,1,0.7150202085363991
981,0,0.38320351630736105
982,1,0.5808247701238948
983,0,0.10233911598236028
984,1,0.9045004484808123
985,0,0.10239977625521235
986,1,0.5901226804623052
987,0,0.10965958092307944
988,1,0.6388222146094048
989,0,0.09549035227320972
990,1,0.6697584604531502
991,0,0.08298054146123858
992,1,0.8839100054965837
993,0,0.20435283054396197
994,0,0.15601078905438368
995,0,0.10594126066878794
996,1,0.6707957098768127
997,0,0.10204495302300752
998,0,0.1890243334309728
999,0,0.15601078905438368
1000,0,0.1025460431855547
1001,0,0.32211271328240515
1002,0,0.20321761242907976
1003,1,0.7150344913044415
1004,1,0.9283397611303256
1005,1,0.7767781731483097
1006,1,0.8046064104087852
1007,0,0.1318741248211272
1008,0,0.1264146842158875
1009,1,0.7443996649734964
1010,1,0.5144776820719497
1011,1,0.763429022470481
1012,1,0.8929866592391061
1013,0,0.11852916465311882
